地块名,黄豆,黑豆,红豆,绿豆,爬豆,小麦,玉米,谷子,高粱,黍子,荞麦,南瓜,红薯,莜麦,大麦,水稻,豇豆,刀豆,芸豆,土豆,西红柿,茄子,菠菜 ,青椒,菜花,包菜,油麦菜,小青菜,黄瓜,生菜 ,辣椒,空心菜,黄心菜,芹菜,大白菜,白萝卜,红萝卜,榆黄菇,香菇,白灵菇,羊肚菌
A1,,,,,5.5802828,19.0,,,,,,,,,,,0.29090909,0.35121951,0.64,,0.5,0.18,0.225,0.2025,0.216,0.615,0.1875,0.216,0.675,0.3375,0.4,0.73333333,0.324,0.36,,28.571429,,,0.375,1.875,0.18181818
A2,,,,,,19.0,,,,,,,,,,,0.29090909,0.35121951,0.64,,0.5,0.18,0.225,0.2025,0.216,0.615,0.1875,0.216,0.675,0.3375,0.4,0.73333333,0.324,0.36,,10.198053,,,0.375,1.875,0.18181818
A3,,,,,,9.379871,,,,,,,,,,,0.29090909,0.35121951,0.64,,0.5,0.18,0.225,0.2025,0.216,0.615,0.1875,0.216,0.675,0.3375,0.4,0.73333333,0.324,0.36,,,,,0.375,1.875,0.25
A4,,,,,,19.0,,,,,,,,,,,0.29090909,0.35121951,0.64,,0.5,0.18,0.225,0.2025,0.216,0.615,0.1875,0.216,0.675,0.3375,0.4,0.73333333,0.324,0.36,,27.879871,,,0.375,1.875,0.25
A5,,,,,,19.0,,,,,,,,,,,0.29090909,0.35121951,0.64,,0.5,0.18,0.225,0.2025,0.216,0.615,0.1875,0.216,0.675,0.3375,0.4,0.73333333,0.324,0.36,,23.629871,,,0.375,1.875,0.25
A6,,,,,,19.0,,,,,,,,,,,0.29090909,0.35121951,0.64,,0.5,0.18,0.225,0.2025,0.216,0.615,0.1875,0.216,0.675,0.3375,0.4,0.73333333,0.324,0.36,,10.379871,,,0.375,1.875,0.25
B1,,,,,,19.0,,,,,,,,,,,0.29090909,0.35121951,0.64,,0.5,0.18,0.225,0.2025,0.216,0.615,0.1875,0.216,0.675,0.3375,0.4,0.73333333,0.324,0.36,,15.379871,,,0.375,1.875,0.25
B2,,,,,,19.0,,,,,,,,,,,0.29090909,0.35121951,0.64,,0.5,0.18,0.225,0.2025,0.216,0.615,0.1875,0.216,0.675,0.3375,0.4,0.73333333,0.324,0.36,,1.379871,,,0.375,1.875,0.25
B3,,,,,,14.379871,,,,,,,,,,,0.29090909,0.35121951,0.64,,0.5,0.18,0.225,0.2025,0.216,0.615,0.1875,0.216,0.675,0.3375,0.4,0.73333333,0.324,0.36,,,,,0.375,1.875,0.25
B4,,,,,,2.379871,,,,,,,,,,,0.29090909,0.35121951,0.64,,0.5,0.18,0.225,0.2025,0.216,0.615,0.1875,0.216,0.675,0.3375,0.4,0.73333333,0.324,0.36,,,,,0.375,1.875,0.25
B5,,,,,,,,,,,,,,,,,0.29090909,0.35121951,0.64,,0.5,0.18,0.225,0.2025,0.216,0.615,0.1875,0.216,0.675,0.3375,0.4,0.73333333,0.324,0.36,,,,,0.375,1.875,0.25
B6,,,,,12.408442,19.0,,,,,,,,,,,0.29090909,0.35121951,0.64,,0.5,0.18,0.225,0.2025,0.216,0.615,0.1875,0.216,0.675,0.3375,0.4,0.73333333,0.324,0.36,,28.571429,,,0.375,1.875,
B7,,,,,,19.0,,,,,,,,,,,0.29090909,0.35121951,0.64,,0.5,0.18,0.225,0.2025,0.216,0.615,0.1875,0.216,0.675,0.3375,0.4,0.73333333,0.324,0.36,,10.379871,,,0.375,1.875,0.25
B8,,,,,,18.379871,,,,,,,,,,,0.29090909,0.35121951,0.64,,0.5,0.18,0.225,0.2025,0.216,0.615,0.1875,0.216,0.675,0.3375,0.4,0.73333333,0.324,0.36,,,,,0.375,1.875,0.25
B9,,,,,,19.0,,,,,,,,,,,0.29090909,0.35121951,0.64,,0.5,0.18,0.225,0.2025,0.216,0.615,0.1875,0.216,0.675,0.3375,0.4,0.73333333,0.324,0.36,,5.379871,,,0.375,1.875,0.25
B10,,,,,,,,,,,,,,,,,0.29090909,0.35121951,0.64,,0.5,0.18,0.225,0.2025,0.216,0.615,0.1875,0.216,0.675,0.3375,0.4,0.73333333,0.324,0.36,,,,,0.375,1.875,0.25
B11,,,,,,19.0,,,,,,,,,,,0.29090909,0.35121951,0.64,,0.5,0.18,0.225,0.2025,0.216,0.615,0.1875,0.216,0.675,0.3375,0.4,0.73333333,0.324,0.36,,15.379871,,,0.375,1.875,0.25
B12,,,,,,19.0,,,,,,,,,,,0.29090909,0.35121951,0.64,,0.5,0.18,0.225,0.2025,0.216,0.615,0.1875,0.216,0.675,0.3375,0.4,0.73333333,0.324,0.36,,0.37987099,,,0.375,1.875,0.25
B13,,,,,,9.379871,,,,,,,,,,,0.29090909,0.35121951,0.64,,0.5,0.18,0.225,0.2025,0.216,0.615,0.1875,0.216,0.675,0.3375,0.4,0.73333333,0.324,0.36,,,,,0.375,1.875,0.25
B14,,,,,,,,,,,,,,,,,0.29090909,0.35121951,0.65454545,,0.5,0.18,0.225,0.2025,0.216,0.615,0.1875,0.8,0.675,,0.4,0.73333333,0.324,0.36,,,,,0.375,1.875,0.25
C1,,,,,,,,,,,,,,,,,0.29090909,0.35121951,0.65454545,,0.5,0.18,0.225,0.2025,0.216,0.9,0.1875,0.8,0.675,,,0.73333333,0.324,0.36,,,,,0.375,1.875,0.18181818
C2,,,,,,,,,,,,,,,,,0.29090909,0.35121951,,,0.5,0.18,0.225,0.2025,0.216,0.9,0.1875,0.8,0.675,,,0.73333333,0.324,0.36,,,,,0.375,1.4179164,
C3,,,,,,,,,,,,,,,,,0.29090909,0.35121951,0.65454545,,0.5,0.18,0.225,0.2025,0.216,0.9,0.1875,0.8,0.675,,,0.73333333,0.324,0.36,,,,,0.375,1.875,0.18181818
C4,,,,,,,,,,,,,,,,,0.29090909,0.35121951,0.65454545,,0.5,0.18,0.225,0.2025,0.216,0.615,0.1875,0.8,0.675,,0.4,0.73333333,0.324,0.36,,,,,0.375,1.875,0.25
C5,,,,,,1.379871,,,,,,,,,,,0.29090909,0.35121951,0.64,,0.5,0.18,0.225,0.2025,0.216,0.615,0.1875,0.216,0.675,0.3375,0.4,0.73333333,0.324,0.36,,,,,0.375,1.875,0.25
C6,,,,,,,,,,,,,,,,,0.29090909,0.35121951,0.65454545,,0.5,0.18,0.225,0.2025,0.216,0.615,0.1875,0.8,0.675,,0.4,0.73333333,0.324,0.36,,,,,0.375,1.875,0.25
D1,,,,,,,,,,,,,,,,,0.29090909,0.35121951,0.65454545,,0.5,0.18,0.225,0.2025,0.216,0.9,0.1875,0.8,0.675,,,0.73333333,0.324,0.36,,,,,0.375,1.875,0.18181818
D2,,,,,,,,,,,,,,,,,0.29090909,,,,0.5,0.18,0.225,0.2025,0.216,0.9,0.1875,,0.675,,,0.73333333,0.324,0.36,,,,,0.375,1.6216216,
D3,,,,,,,,,,,,,,,,,0.29090909,0.35121951,,,0.5,0.18,0.225,0.2025,0.216,0.9,0.1875,0.8,0.675,,,0.73333333,0.324,0.36,,,,,0.375,1.875,0.042916442
D4,,,,,,,,,,,,,,,,,0.29090909,,,,0.5,0.18,0.225,,0.216,0.9,0.1875,,0.675,,,0.73333333,0.324,0.36,,,,,0.375,0.85325758,
D5,,,,,,,,,,,,,,,,,0.29090909,,,,0.5,0.18,0.225,0.2025,0.216,0.9,0.1875,,0.675,,,0.73333333,0.324,0.36,,,,,0.375,1.6216216,
D6,,,,,,,,,,,,,,,,,0.29090909,0.35121951,,,0.5,0.18,0.225,0.2025,0.216,0.9,0.1875,0.8,0.675,,,0.73333333,0.324,0.36,,,,,0.375,0.41791644,
D7,,,,,,,,,,,,,,,,,0.29090909,0.35121951,0.65454545,,0.5,0.18,0.225,0.2025,0.216,0.615,0.1875,0.8,0.675,,0.4,0.73333333,0.324,0.36,,,,,0.375,1.875,0.25
D8,,,,,,,,,,,,,,,,,0.29090909,0.35121951,0.65454545,,0.5,0.18,0.225,0.2025,0.216,0.615,0.1875,0.8,0.675,,0.4,0.73333333,0.324,0.36,,,,,0.375,1.875,0.18181818
E1,,,,,,,,,,,,,,,,,0.18,,,,0.054,,0.06,,,,,,,,,,,0.36,,,,,,,
E2,,,,,,,,,,,,,,,,,0.18,,,,0.054,,0.06,,,,,,,,,,,0.36,,,,,,,
E3,,,,,,,,,,,,,,,,,0.18,,,,0.054,,0.006,,,,,,,,,,,0.36,,,,,,,
E4,,,,,,,,,,,,,,,,,0.18,,,,,,0.225,,,,,,,,,,,0.36,,,,,,,
E5,,,,,,,,,,,,,,,,,0.18,,,,,,0.06,,,,,,,,,,,0.36,,,,,,,
E6,,,,,,,,,,,,,,,,,0.18,,,,,,0.06,,,,,,,,,,,0.36,,,,,,,
E7,,,,,,,,,,,,,,,,,0.18,,,,0.054,,0.225,,,,,,,,,,,0.36,,,,,,,
E8,,,,,,,,,,,,,,,,,0.18,,,,,,0.225,,,,,,,,,,,0.36,,,,,,,
E9,,,,,,,,,,,,,,,,,0.18,,,,0.054,,0.006,,,,,,,,,,,0.36,,,,,,,
E10,,,,,,,,,,,,,,,,,0.18,,,,0.054,,0.06,,,,,,,,,,,0.36,,,,,,,
E11,,,,,,,,,,,,,,,,,0.18,,,,,,0.225,,,,,,,,,,,0.36,,,,,,,
E12,,,,,,,,,,,,,,,,,0.18,,,,,,0.06,,,,,,,,,,,0.36,,,,,,,
E13,,,,,,,,,,,,,,,,,0.18,,,,0.054,,0.06,,,,,,,,,,,0.36,,,,,,,
E14,,,,,,,,,,,,,,,,,0.18,,,,0.054,,0.06,,,,,,,,,,,0.36,,,,,,,
E15,,,,,,,,,,,,,,,,,0.18,,,,,,0.06,,,,,,,,,,,0.36,,,,,,,
E16,,,,,,,,,,,,,,,,,0.18,,,,0.054,,0.225,,,,,,,,,,,0.36,,,,,,,
F1,,,,,,,,,,,,,,,,,0.18,,,,0.054,,0.06,,,,,,,,,,,0.36,,,,,,,
F2,,,,,,,,,,,,,,,,,0.18,,,,0.054,,0.06,,,,,,,,,,,0.36,,,,,,,
F3,,,,,,,,,,,,,,,,,0.18,,,,,,0.06,,,,,,,,,,,0.36,,,,,,,
F4,,,,,,,,,,,,,,,,,0.18,,,,0.054,,0.06,,,,,,,,,,,0.36,,,,,,,
D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
